Sarparda,G2 R2 P S M1 N1 N2 D2
Savani,G2 G1 R2 P S M1 N2 D2
Savani Bihag,G2 R2 P S M1 N2 D2
Savani Kalyan,G2 R2 P S M1 N2 D2
Saveri,R1 P S M1 N2 G2 D1
Shankara,G2 R2 P S N2 D2
Shankarabharana,G2 R2 P S M1 N2 D2
Shanmukhpriya,R2 G1 P S M2 N1 D1
Sharavati,G2 R2 P S M1 D2 D1
Shivaranjani,P S D2 G1 R2
Shobhavari,P S M1 R2 D1
Shree,R1 P S M2 N2 D1 G2
Shree Kalyan,P S D2 R2 M2
ShreeRaag,R1 P S M2 N2 G2 D1
Shuddh Bilaval,G2 R2 P S M1 N2 D2
Shuddha Bhairavi,R1 G1 P S M1 N1 D1
Shuddha Kalyan,G2 R2 P S M2 N2 D2
Shuddha Malhar Bilaval That,P S M1 D2 R2
Shuddha Malhar Khamaj That,G2 R2 P S M1 N1 N2 D2
Shuddha Nata,G2 R2 P S M1 N2 D2
Shuddha Sarang, R2 P S M1 M2 N1 N2 D2 D1
ShuddhKalyan,G2 R2 P S M2 N2 D2
ShuddhSarang,R2 P S M1 M2 N2 D2
Shukla Bilaval,G2 R2 P S M1 N2 D2
Shyam Kedar,R2 P S M1 M2 N1 N2 D2
Shyan Kalyan,G2 R2 P S M1 M2 N2 D2
Simhendramadhyamam,R2 G1 P S M2 N2 D1
Sindh/Sindhu,G2 R2 P S M1 N1 N2 G1 D2 D1
Sindhu Bhairavi,R2 G1 R1 P S M1 M2 N1 D1
Sohani/Sohoni/Sohini,G2 G1 S M2 N2 D2 R1
Sugharai,R2 G1 P S M1 N1 D2
Suha/Suha Kanada,G2 G1 R2 P S M1 N1 N2
Suha Sugharai,R2 G1 P S M1 M2 N1
Sur Malhar,R2 P S M1 N1 N2 D2
Tilak Kamod,G2 R2 P S M1 N2 D2
Tilang,G2 P S M1 N1 N2
Todi,R1 G1 P S M2 N2 D1
Yaman,G2 R2 P S M2 N2 D2
Zilla Kafi ,G2 G1 R2 P S M1 M2 N1 N2 D2 D1
