ChAyAtharan'giNi     , S R2 M1 G3 M1 P N2 S    , S N2 D2 P M1 G3 R2 S
dhvijAvanthi         , S R2 M1 G3 M1 P D2 S    , S N2 D2 P M1 G3 R2 G2 R2 S
HaridhAsapriya *     , S P M1 G3 M1 P D2 N2 S  , S N2 D2 N2 P M1 G3 R2 S
IshamanOHari         , S R2 G3 M1 P D2 N2 S    , S N2 D2 P M1 R2 M1 G3 R2 S
janjUti              , S R2 G3 M1 P D2 N2      , N2 D2 P M1 G3 R2 S N2 D2 P D2 S
jujAHuli             , S M1 G3 M1 P D2 N2 S    , S N2 D2 P M1 G3 S
kAmbhOji             , S R2 G3 M1 P D2 S       , S N2 D2 P M1 G3 R2 S N3 P D2 S
kApinArAyaNi         , S R2 M1 P D2 N2 S       , S N2 D2 P M1 G3 R2 S
kamAs                , S M1 G3 M1 P D2 N2 S    , S N2 D2 P M1 G3 R2 S
karnAtaka bEHAg      , S R2 G3 M1 P D2 N2 S    , S N2 D2 N2 P D2 M1 G3 R2 G3 R2
kedhAragowLa         , S R2 M1 P N2 S          , S N2 D2 P M1 G3 R2 S
kOkilaDhvani         , S R2 G3 M1 D2 N2 D2 S   , S N2 D2 N2 P M1 G3 R2 S
kunthalavarALi       , S M1 P D2 N2 D2 S       , S N2 D2 P M1 S
mAlavi               , S R2 G3 M1 P N2 M1 D2 N2 S       , S N2 D2 N2 P M1 G3 M1 R2 S
mOHana               , S R2 G3 P D2 S          , S D2 P G3 R2 S
nAgasvarAvaLi        , S G3 M1 P D2 S          , S D2 P M1 G3 S
nArAyaNagowLa        , S R2 M1 P N2 D2 N2 S    , S N2 P M1 G3 R2 G3 R2 S
nArAyani             , S R2 M1 P D2 S          , S N2 D2 P M1 R2 S
nAtakuraN~ji         , S R2 G3 M1 N2 D2 N2 P D2 N2 S     , S N2 D2 M1 G3 M1 P G3 R2 S
navarasa kalAnidhi * , S R2 M1 P S N2 S        , S D2 P M1 G3 R2 S
navarasa kannada     , S G3 M1 P S             , S N2 D2 M1 G3 R2 S
prathApa  varALi     , S R2 M1 P D2 P S        , S D2 P M1 G3 R2 S
pravAlajothi         , S R2 M1 P D2 N2 S       , S N2 D2 N2 P M1 G3 G3
rAgapanjaram         , S R2 M1 P D2 N2 D2 S    , S N2 D2 M1 R2 S
ravichandhrika       , S R2 G3 M1 D2 N2 D2 S   , S N2 D2 M1 G3 R2 S
sAma                 , S R2 M1 P D2 S          , S D2 P M1 G3 R2 S
saHAna               , S R2 G3 M1 P M1 D2 N2 S , S N2 S D2 N2 D2 P M1 G3 M1 R2 G3 R2 S
sarasvathi manOHari  , S R2 G3 M1 D2 S         , S D2 N2 P M1 G3 R2 S
sindhu kannada       , S M1 G3 M1 R2 G3 M1 P D2 P S      , S N2 D2 P M1 G3 R2 S
sudhdha tharan'gini  , S R2 G3 M1 R2 M1 P D2 N2 D2 S     , S N2 D2 P M1 G3 R2 S
supOshini            , S R2 S M1 P N2 D2 S     , S D2 N2 P M1 R2 M1 S
surati               , S R2 M1 P N2 S          , SN2D2PM1G3PM1R2S
svarAvaLi            , S M1 G3 M1 P N2 D2 N2 S , S N2 P D2 M1 G3 R2 S
svaravEdhi *         , S M1 G3 M1 P N2 D2 N2 S , S N2 D2 N2 P M1 G3
thilan'g             , S G3 M1 P N3 S          , S N2 P M1 G3 S
umAbharaNam          , S R2 G3 M1 P D2 N2 S    , S N2 P M1 R2 G3 M1 R2 S
vINA vAdhini         , S R2 G3 P N2 S          , S N2 P G3 R2 S
vivardhini           , S R2 M1 P S             , S N2 D2 P M1 G3 R2 S
yadhukulakAmbhOji    , S R2 M1 P D2 S          , S N2 D2 P M1 G3 R2 S
Arabhi               , S R2 M1 P D2 S          , S N3 D2 P M1 G3 R2 S
atAna                , S R2 M1 P N3 S          , S N3 D2 P M1 P G3 R2 S
ban'gALa             , S R2 G3 M1 P M1 R2 P S  , S N3 P M1 R2 G3 R2 S
begada               , S G3 R2 G3 M1 P D2 N2 D2 P S      , S N3 D2 P M1 G3 R2 S
bEHAg                , S G3 M1 P N3 D2 N3 S    , S N3 D2 P M1 G3 R2 S
bilaHari             , S R2 G3 P D2 S          , S N3 D2 P M1 G3 R2 S
dhesAkshi            , S R2 G3 P D2 S          , S N3 D2 P M1 G3 R2 S
dhEvagAndhAri        , S R2 M1 P D2 S          , S N3 D2 P M1 G3 R2 S
garudaDhvani         , S R2 G3 M1 P D2 N3 S    , S D2 P G3 R2 S
HamsaDhvani          , S R2 G3 P N3 S          , S N3 P G3 R2 S
HindhusthAni bEHAg   , S G3 M1 P N3 D2 N3 S    , S N3 D2 P M2 G3 M1 G3 R2 S
janaranjani          , S R2 G3 M1 P D2 P N3 S  , S D2 P M1 R2 S
kadhana kuthUHalam   , S R2 M1 D2 N3 G3 P S    , S N3 D2 P M1 G3 R2 S
kannada              , S G3 M1 P M1 D2 N3 S    , S D2 P M1 G3 M1 R2 N3. S
kEdhAram             , S M1 G3 M1 P N3 S       , S N3 P M1 G3 R2 S
koiAHalam            , S P M1 G3 M1 P D2 N3 S  , S N3 D2 P M1 G3 R2 S
kuraN~ji             , S N3 S R2 G3 M1 P D2    , D2 P M1 G3 R2 S N3 S
kuthUHalam           , S R2 M1 N3 D2 P N3 S    , S N3 D2 P M1 G3 R2 S
mAnd                 , S G3 M1 P D2 S          , S N3 D2 P M1 G3 R2 S
navaroj              , P D2 N3 S R2 G3 M1 P    , M1 G3 R2 S N3 D2 P
nIlAmbari            , S R2 G3 M1 P D2 P N3 S  , S N3 P M1 G3 R2 G3 S
pUrNachandhrika      , S R2 G3 M1 P D2 P S     , S N3 P M1 R2 G3 M1 R2 S
sindhu mandhAri      , S R2 G3 M1 P D2 P S     , S N3 D2 P G3 M1 D2 P M1 R2 S
sudhdha sAvEri       , S R2 M1 P D2 S          , S D2 P M1 R2 S
ChAyAnAta            , S R3 G3 M1 P M1 P S     , S N2 D2 N2 P M1 R3 S
gAnavAridhi          , S M1 R3 G3 M1 P D2 N2 S , S D2 N2 P M1 R3 S
gambhiranAta         , S G3 M1 P N3 S          , S N3 P M1 G3 S
nAta                 , S R3 G3 M1 P D3 N3 S    , S N3 P M1 R3 S
JinAvaLi             , S G1 R1 G1 M2 P D1 N3 D1 S       , S N3 D1 P M2 G1 R1 S
varALi               , S G1 R1 G1 M2 P D1 N3 S , S N3 D1 P M2 G1 R1 S
nabhOmaNi            , S R1 G1 R1 M2 P S       , S N2 D2 P M2 G1 R1 S
chandhrajyothi       , S R1 G1 M2 P D2 S       , S D2 P M2 G1 R1 S
vijayashrI           , S G1 R1 G1 M2 P N3 S    , S N3 P M2 G1 R1 S
thivravAHini         , S R1 G2 M2 P D2 N2 S    , S N2 D2 P M2 G2 R1 G2 M2 R1 S
dhipaka              , S G3 M2 P D1 P S        , S N3 D1 N3 P M2 G3 R1 S
mandhAri             , S R1 G3 M2 P N3 S       , S N3 P M2 G3 R1 S
